,singer,sing,count,production,dist,time,sex,active_type
217,WINNER,AH YEAH (아예),19282605,YG Entertainment,YG Plus,2019.06.09~2019.06.15,남성,그룹
218,우디(Woody),대충 입고 나와,17956040,인디안레이블,지니뮤직,2019.06.09~2019.06.15,남성,솔로
219,BLACKPINK,Kill This Love,17508750,YG Entertainment,YG Plus,2019.06.09~2019.06.15,여성,그룹
220,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",16971184,SM Entertainment,Dreamus,2019.06.09~2019.06.15,남성,솔로
221,송하예,니 소식,16960254,더하기미디어,카카오 M,2019.06.09~2019.06.15,여성,솔로
222,폴킴,너를 만나,16915269,뉴런뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
223,"Mena Massoud, Naomi Scott",A Whole New World,16870448,"Disney Enterprises,Inc.",Universal Music,2019.06.09~2019.06.15,혼성,그룹
224,첸 (CHEN),사월이 지나면 우리 헤어져요 (Beautiful goodbye),16189869,SM Entertainment,Dreamus,2019.06.09~2019.06.15,남성,솔로
225,엔플라잉 (N.Flying),옥탑방,16041985,FNC엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,밴드
226,엠씨더맥스 (M.C The Max),사계 (하루살이),15983706,325 이엔씨,카카오 M,2019.06.09~2019.06.15,남성,밴드
227,ITZY (있지),달라달라,15871920,JYP Entertainment,Dreamus,2019.06.09~2019.06.15,여성,그룹
228,Lauv,Paris In The Rain,15286531,뮤직테이블,NHN벅스,2019.06.09~2019.06.15,남성,솔로
229,볼빨간사춘기,별 보러 갈래?,14347335,쇼파르뮤직,카카오 M,2019.06.09~2019.06.15,여성,솔로
230,청하,벌써 12시,14236762,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.06.09~2019.06.15,여성,솔로
231,기리보이(Giriboy),"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, N...",13826758,린치핀뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
232,엠씨더맥스 (M.C The Max),넘쳐흘러,13739866,325 이엔씨,카카오 M,2019.06.09~2019.06.15,남성,밴드
233,장범준,당신과는 천천히,13586035,버스커버스커,카카오 M,2019.06.09~2019.06.15,남성,솔로
234,기리보이(Giriboy),교통정리 (Feat. 헤이즈),13264154,린치핀뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
235,방탄소년단,소우주 (Mikrokosmos),12179249,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
236,숀 (SHAUN),Way Back Home,12169031,디씨톰엔터테인먼트,Warner Music,2019.06.09~2019.06.15,남성,솔로
237,"소유 (SOYOU), 오반",비가 오잖아,11944147,"스타쉽엔터테인먼트, 로맨틱팩토리",카카오 M,2019.06.09~2019.06.15,혼성,프로젝트
238,홍진영,오늘 밤에,11886728,뮤직K,카카오 M,2019.06.09~2019.06.15,여성,솔로
239,방탄소년단,봄날,11809913,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
240,잔나비,뜨거운 여름밤은 가고 남은 건 볼품없지만,11736883,페포니 뮤직,카카오 M,2019.06.09~2019.06.15,남성,밴드
241,잔나비,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들...,11630259,페포니 뮤직,지니뮤직,2019.06.09~2019.06.15,남성,밴드
242,염따 (YumDDa),돈 Call Me (Prod. BRLLNT),11502140,"딩고뮤직, 염따",Dreamus,2019.06.09~2019.06.15,남성,솔로
243,백예린,그건 아마 우리의 잘못은 아닐 거야,11414745,JYP Entertainment,Dreamus,2019.06.09~2019.06.15,여성,솔로
244,우디(Woody),이 노래가 클럽에서 나온다면,11254097,인디안레이블,지니뮤직,2019.06.09~2019.06.15,남성,솔로
245,케이시 (Kassy),진심이 담긴 노래 (True Song),11186493,넥스타엔터테인먼트,카카오 M,2019.06.09~2019.06.15,여성,솔로
246,오마이걸 (OH MY GIRL),다섯 번째 계절 (SSFWL),10713089,WM엔터테인먼트,카카오 M,2019.06.09~2019.06.15,여성,그룹
247,Ariana Grande,7 rings,10665779,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.06.09~2019.06.15,여성,솔로
248,화사(Hwa Sa),멍청이(twit),10502498,RBW,카카오 M,2019.06.09~2019.06.15,여성,솔로
249,하은 (라코스테남),신용재,10435982,인디안레이블,지니뮤직,2019.06.09~2019.06.15,남성,솔로
250,전소미,BIRTHDAY,10405847,The Black Label,YG Plus,2019.06.09~2019.06.15,여성,솔로
251,벤 (Ben),180도,10376471,메이저나인,지니뮤직,2019.06.09~2019.06.15,여성,솔로
252,IZ*ONE (아이즈원),비올레타,10340063,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,2019.06.09~2019.06.15,여성,그룹
253,방탄소년단,Make It Right,10307986,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
254,방탄소년단,IDOL,10302536,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
255,마마무 (Mamamoo),고고베베 (gogobebe),10098638,RBW,카카오 M,2019.06.09~2019.06.15,여성,그룹
256,폴킴,초록빛,10068513,뉴런뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
257,에픽하이 (EPIK HIGH),술이 달다 (Feat. 크러쉬),9954246,OURS Co.,카카오 M,2019.06.09~2019.06.15,남성,그룹
258,폴킴,비,9897320,뉴런뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
259,임한별,이별하러 가는 길,9863307,모스트웍스,카카오 M,2019.06.09~2019.06.15,남성,솔로
260,Ariana Grande,"thank u, next",9859810,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.06.09~2019.06.15,여성,솔로
261,TWICE,YES or YES,9763382,JYP Entertainment,Dreamus,2019.06.09~2019.06.15,여성,그룹
262,케이윌 (K.Will),내 생에 아름다운,9622672,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,2019.06.09~2019.06.15,남성,솔로
263,Jeremy Zucker,comethru,9556655,Universal Music,Universal Music,2019.06.09~2019.06.15,남성,솔로
264,닐로 (Nilo),지나오다,9442494,닐로 컴퍼니,퍼플파인 엔터테인먼트,2019.06.09~2019.06.15,남성,솔로
265,이소라,신청곡 (Feat. SUGA of BTS),9405124,에르타알레,NHN벅스,2019.06.09~2019.06.15,여성,솔로
266,양다일,고백,9348341,브랜뉴뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
267,아이유 (IU),밤편지,9324558,"페이브엔터테인먼트,카카오 M",카카오 M,2019.06.09~2019.06.15,여성,솔로
268,아이유 (IU),삐삐,9216643,카카오 M,카카오 M,2019.06.09~2019.06.15,여성,솔로
269,제니 (JENNIE),SOLO,9097561,YG Entertainment,YG PLUS,2019.06.09~2019.06.15,여성,솔로
270,"강현준 (Lil tachi), 김호진 (HOTCHKISS)",눈 (Prod. GIRIBOY),9097167,Stone Music Entertainment,지니뮤직,2019.06.09~2019.06.15,남성,프로젝트
271,"Jvcki Wai, Young B, Osshun Gum, 한요한",띵 (Prod. By 기리보이),8878956,"인디고뮤직, 딩고뮤직",카카오 M,2019.06.09~2019.06.15,혼성,프로젝트
272,윤건,너도 그냥 날 놓아주면 돼,8854483,센토엔터테인먼트,지니뮤직,2019.06.09~2019.06.15,남성,솔로
273,박봄,봄 (Feat. 산다라박),8832493,디네이션,NHN벅스,2019.06.09~2019.06.15,여성,솔로
274,"방탄소년단, Charli XCX",Dream Glow (BTS WORLD OST Part.1),8820313,"TakeOne Company, 빅히트엔터테인먼트",카카오 M,2019.06.09~2019.06.15,혼성,프로젝트
275,방탄소년단,Dionysus,8796085,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
276,노을,너는 어땠을까,8442798,씨제스엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,그룹
277,기리보이(Giriboy),도쿄 (Feat. 유라 (youra)),8250318,린치핀뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
278,TWICE,Dance The Night Away,8122646,JYP Entertainment,Dreamus,2019.06.09~2019.06.15,여성,그룹
279,김재환,안녕하세요,8107054,스윙엔터테인먼트,"지니뮤직, Stone Music Entertainment",2019.06.09~2019.06.15,남성,솔로
280,허각,흔한 이별,8076004,플레이엠엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,솔로
281,볼빨간사춘기,여행,8061872,쇼파르뮤직,카카오 M,2019.06.09~2019.06.15,여성,솔로
282,벤 (Ben),열애중,7952024,메이저나인,지니뮤직,2019.06.09~2019.06.15,여성,솔로
283,마크툽 (Maktub),오늘도 빛나는 너에게 (To You My Light) (Feat.이라...,7916748,MAKTUB Company,Warner Music,2019.06.09~2019.06.15,남성,솔로
284,Will Smith,Arabian Nights (2019),7818786,"Disney Enterprises,Inc.",Universal Music,2019.06.09~2019.06.15,남성,솔로
285,EXO,Love Shot,7761205,SM Entertainment,Dreamus,2019.06.09~2019.06.15,남성,그룹
286,송민호,아낙네,7685601,YG Entertainment,YG PLUS,2019.06.09~2019.06.15,남성,솔로
287,"Ed Sheeran, Justin Bieber",I Don`t Care,7665254,Atlantic Records UK,Warner Music,2019.06.09~2019.06.15,남성,프로젝트
288,WINNER,MILLIONS,7649739,YG Entertainment,YG PLUS,2019.06.09~2019.06.15,남성,그룹
289,양다일,이 밤,7632891,브랜뉴뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
290,방탄소년단,HOME,7561293,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
291,임한별,오월의 어느 봄날 (Feat. 첸(CHEN)),7481027,모스트웍스,카카오 M,2019.06.09~2019.06.15,남성,솔로
292,공기남,"Gloomy Star (Feat. 1ho, Chan)",7273845,에어뮤직,Warner Music,2019.06.09~2019.06.15,남성,솔로
293,"Marshmello, Anne-Marie",FRIENDS,6772161,Atlantic Records UK,Warner Music,2019.06.09~2019.06.15,혼성,프로젝트
294,방탄소년단,Jamais Vu,6765765,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
295,Imagine Dragons,Believer,6684365,"KIDinaKORNER, Interscope Records",Universal Music,2019.06.09~2019.06.15,남성,그룹
296,잔나비,She (Hidden Track No.V 1월 선정곡),6494057,페포니 뮤직,카카오 M,2019.06.09~2019.06.15,남성,밴드
297,Will Smith,Prince Ali,6435155,"Disney Enterprises,Inc.",Universal Music,2019.06.09~2019.06.15,남성,솔로
298,히키(Hickee),사랑에 연습이 있었다면 (답가),6397721,"꿈의엔진, 디원미디어",카카오 M,2019.06.09~2019.06.15,여성,솔로
299,BLACKPINK,Don`t Know What To Do,6250298,YG Entertainment,YG Plus,2019.06.09~2019.06.15,여성,그룹
300,비투비 (BTOB),아름답고도 아프구나,6129304,큐브엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,그룹
301,Ed Sheeran,Shape of You,5999374,Atlantic Records UK,Warner Music,2019.06.09~2019.06.15,남성,솔로
302,비투비 (BTOB),그리워하다,5914294,큐브엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,그룹
303,비투비 (BTOB),너 없인 안 된다,5878394,큐브엔터테인먼트,카카오 M,2019.06.09~2019.06.15,남성,그룹
304,임창정,하루도 그대를 사랑하지 않은 적이 없었다,5754028,NH EMG,인터파크,2019.06.09~2019.06.15,남성,솔로
305,"창모, Hash Swan, ASH ISLAND, 김효은",BAND,5734630,앰비션뮤직,"지니뮤직, Stone Music Entertainment",2019.06.09~2019.06.15,남성,프로젝트
306,BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),5654776,YG Entertainment,YG PLUS,2019.06.09~2019.06.15,여성,그룹
307,바이브 (Vibe),가을 타나 봐,5617076,메이저나인,지니뮤직,2019.06.09~2019.06.15,남성,그룹
308,Charlie Puth,Attention,5598016,Artist Partners,Warner Music,2019.06.09~2019.06.15,남성,솔로
309,AB6IX (에이비식스),BREATHE,5519756,브랜뉴뮤직,Warner Music,2019.06.09~2019.06.15,남성,그룹
310,Troye Sivan,Youth,5423044,Universal Music,Universal Music,2019.06.09~2019.06.15,남성,솔로
311,윤딴딴,잘 살고 있지롱,5387135,"매직스트로베리 사운드, 딴딴한 피플",카카오 M,2019.06.09~2019.06.15,남성,솔로
312,"pH-1, Kid Milli, 루피 (Loopy)",Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),5352734,Stone Music Entertainment,지니뮤직,2019.06.09~2019.06.15,남성,프로젝트
313,EXO,Tempo,5339010,SM Entertainment,Dreamus,2019.06.09~2019.06.15,남성,그룹
314,방탄소년단,Intro _ Persona,5244012,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
315,Billie Eilish,Idontwannabeyouanymore,5220471,"Darkroom, Interscope Records",Universal Music,2019.06.09~2019.06.15,여성,솔로
316,10cm,그러나,5191723,매직스트로베리사운드,카카오 M,2019.06.09~2019.06.15,남성,솔로
317,길구봉구,있어줄래,5186750,뮤직웍스,지니뮤직,2019.06.09~2019.06.15,남성,그룹
318,Shawn Mendes,If I Can`t Have You,5177791,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.06.09~2019.06.15,남성,솔로
319,하은요셉,여자친구,5165976,"인디안레이블, 메이저나인",지니뮤직,2019.06.09~2019.06.15,남성,그룹
320,양다일,미안해,5075861,브랜뉴뮤직,카카오 M,2019.06.09~2019.06.15,남성,솔로
321,헤이즈 (Heize),SHE`S FINE,4998392,"Stone Music Entertainment, Studio blu",지니뮤직,2019.06.09~2019.06.15,여성,솔로
322,"Lauv, Troye Sivan",i`m so tired...,4906622,뮤직테이블,NHN벅스,2019.06.09~2019.06.15,남성,프로젝트
323,Will Smith,Friend Like Me,4756414,"Disney Enterprises,Inc.",Universal Music,2019.06.09~2019.06.15,남성,솔로
324,멜로망스(Melomance),선물,4728703,"민트페이퍼, 광합성",카카오 M,2019.06.09~2019.06.15,남성,듀엣
325,Imagine Dragons,Thunder,4688252,"KIDinaKORNER, Interscope Records",Universal Music,2019.06.09~2019.06.15,남성,그룹
326,"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",flex (Prod. By 기리보이),4661722,"인디고뮤직, 딩고뮤직",카카오 M,2019.06.09~2019.06.15,남성,그룹
327,"방탄소년단, Zara Larsson",A Brand New Day (BTS WORLD OST Part.2),4631790,"TakeOne Company, 빅히트엔터테인먼트",카카오 M,2019.06.09~2019.06.15,혼성,프로젝트
328,Fitz & The Tantrums,HandClap,4552908,Elektra,Warner Music,2019.06.09~2019.06.15,혼성,밴드
329,방탄소년단,FAKE LOVE,4520474,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
330,Alan Walker,"All Falls Down (Feat. Noah Cyrus, Digi...",4499084,MER Musikk,Sony Music,2019.06.09~2019.06.15,남성,솔로
331,장덕철,그날처럼,4497679,리메즈,카카오 M,2019.06.09~2019.06.15,남성,그룹
332,청하,Roller Coaster,4480289,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.06.09~2019.06.15,여성,솔로
333,볼빨간사춘기,Mermaid,4427594,쇼파르뮤직,카카오 M,2019.06.09~2019.06.15,여성,솔로
334,황인욱,취하고 싶다 (Prod. By 전태익),4315334,678 MUSIC,뮤직파운드,2019.06.09~2019.06.15,남성,솔로
335,볼빨간사춘기,나의 사춘기에게,4298075,쇼파르뮤직,카카오 M,2019.06.09~2019.06.15,여성,솔로
336,"오반, VAN.C",불면 (不眠),4270570,로맨틱팩토리,카카오 M,2019.06.09~2019.06.15,남성,프로젝트
337,Camila Cabello,Havana (Feat. Young Thug),4214929,Syco Music/Epic,Sony Music,2019.06.09~2019.06.15,여성,솔로
338,The Chainsmokers,Closer (Feat. Halsey),4209785,"Disruptor Records, Columbia",Sony Music,2019.06.09~2019.06.15,남성,듀엣
339,이영지,"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The ...",4204645,Stone Music Entertainment,지니뮤직,2019.06.09~2019.06.15,여성,솔로
340,헤이즈 (Heize),비도 오고 그래서 (Feat. 신용재),4139519,Stone Music Entertainment,지니뮤직,2019.06.09~2019.06.15,여성,솔로
341,유노윤호 (U-KNOW),Follow,4137685,SM Entertainment,Dreamus,2019.06.09~2019.06.15,남성,솔로
342,방탄소년단,DNA,4127296,빅히트 엔터테인먼트,Dreamus,2019.06.09~2019.06.15,남성,그룹
343,Charlie Puth,One Call Away,4088551,Artist Partners,Warner Music,2019.06.09~2019.06.15,남성,솔로
344,IZ*ONE (아이즈원),라비앙로즈 (La Vie en Rose),4067068,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,2019.06.09~2019.06.15,여성,그룹
345,먼데이 키즈 (Monday Kiz),가을 안부,4042449,먼데이키즈 컴퍼니,지니뮤직,2019.06.09~2019.06.15,남성,솔로
346,이우,공일공 (010),3991425,소리바다,소리바다,2019.06.09~2019.06.15,남성,솔로
347,Justin Bieber,Love Yourself,3958705,"Def Jam Recordings, a division of UMG Recordings, Inc",Universal Music,2019.06.09~2019.06.15,남성,솔로
348,에일리 (Ailee),첫눈처럼 너에게 가겠다,3956511,"Stone Music Entertainment, 화앤담픽쳐스","지니뮤직, Stone Music Entertainment",2019.06.09~2019.06.15,여성,솔로
349,iKON,사랑을 했다 (LOVE SCENARIO),3914919,YG Entertainment,YG PLUS,2019.06.09~2019.06.15,남성,그룹
350,BLACKPINK,Forever Young,3826152,YG Entertainment,YG PLUS,2019.06.09~2019.06.15,여성,그룹
351,"Khalid, Disclosure",Talk,3824539,"Right Hand Music Group, LLC/RCA Records",Sony Music,2019.06.09~2019.06.15,남성,솔로
352,모모랜드 (MOMOLAND),뿜뿜,3741038,"엠엘디엔터테인먼트, 카카오 M",카카오 M,2019.06.09~2019.06.15,여성,그룹
353,레드벨벳(Red Velvet),Power Up,3722740,SM Entertainment,Dreamus,2019.06.09~2019.06.15,여성,그룹
354,Charlie Puth,We Don`t Talk Anymore (Feat. Selena Go...,3661741,Artist Partners,Warner Music,2019.06.09~2019.06.15,남성,솔로
355,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,3623092,MER Recordings,Sony Music,2019.06.09~2019.06.15,남성,프로젝트
356,"The Chainsmokers, Coldplay",Something Just Like This,3614727,"Disruptor Records, Columbia",Sony Music,2019.06.09~2019.06.15,남성,프로젝트
357,윤종신,좋니,3595119,미스틱스토리,카카오 M,2019.06.09~2019.06.15,남성,솔로
358,"로꼬, 화사",주지마,3575039,한국방송공사,카카오 M,2019.06.09~2019.06.15,혼성,프로젝트
359,Shawn Mendes,There`s Nothing Holdin` Me Back,3553225,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.06.09~2019.06.15,남성,솔로
360,Mike Perry,The Ocean (Feat. Shy Martin) (Radio Ed...,3542021,DF Records,Sony Music,2019.06.09~2019.06.15,남성,프로젝트
361,펀치 (Punch),헤어지는 중,3486654,냠냠엔터테인먼트,카카오 M,2019.06.09~2019.06.15,여성,솔로
362,Alan Walker,Faded,3478791,MER Musikk,Sony Music,2019.06.09~2019.06.15,남성,솔로
363,로꼬 (LOCO),시간이 들겠지 (Feat. Colde),3453672,AOMG,카카오 M,2019.06.09~2019.06.15,남성,솔로
364,하성운,라이딩 (Riding) (Feat. 개코),3436570,스타크루이엔티,카카오 M,2019.06.09~2019.06.15,남성,솔로
365,Maroon 5,Girls Like You (Feat. Cardi B),3434773,Interscope Records,Universal Music,2019.06.09~2019.06.15,남성,밴드
366,레드벨벳(Red Velvet),빨간 맛 (Red Flavor),3418746,SM Entertainment,Dreamus,2019.06.09~2019.06.15,여성,그룹
367,이수,My Way,3408199,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,2019.06.09~2019.06.15,남성,솔로
368,선미,사이렌 (Siren),3405005,메이크어스엔터테인먼트,카카오 M,2019.06.09~2019.06.15,여성,솔로
369,Taylor Swift,ME! (Feat. Brendon Urie of Panic! At T...,3383194,Taylor Swift,Universal Music,2019.06.09~2019.06.15,혼성,그룹
370,Post Malone & Swae Lee,Sunflower (Spider-Man _ Into The Spide...,3360030,Universal Music,Universal Music,2019.06.09~2019.06.15,남성,프로젝트
371,Maroon 5,Sugar,3353854,Interscope Records,Universal Music,2019.06.09~2019.06.15,남성,밴드
372,악동뮤지션 (AKMU),DINOSAUR,3345385,YG Entertainment,지니뮤직,2019.06.09~2019.06.15,혼성,듀엣
373,닐로 (Nilo),"미운 날 (The day, I hate myself)",3292457,리메즈,Universal Music,2019.06.09~2019.06.15,남성,솔로
374,멜로망스(MeloMance),You,3254446,JTBC,인터파크,2019.06.09~2019.06.15,남성,듀엣
